restaurant_name,place_id,rating,review_count,price_level,latitude,longitude,matched_sfa_name,hygiene_grade,avg_sentiment,total_reviews,is_michelin,michelin_award
bleu keppel bay,ChIJQ_YEj6Ab2jERSKJSEzoXzNg,4.3,114,,1.2640047,103.8124338,marina bay sands pte. ltd.,A,0.95988,5,FALSE,
ristorante palermo,ChIJCxvvjgIb2jER1HlfT5-p_Os,4.3,224,,1.2640047,103.8124338,ristorante pietrasanta pte. ltd.,A,0.71554,5,FALSE,
the surf club by tin box,ChIJKw9H6qAb2jER2TDMHmYHPuU,4.5,24,,1.2639723,103.8124721,the coffee bean & tea leaf (singapore) pte ltd,A,0.96286,5,FALSE,
akshaya kitchen & bistro,ChIJmzBWZwob2jERqDmOQPVrCvw,3.7,208,,1.2734097,103.801619,asia bistro llp,B,0.3276,5,FALSE,
royal currie,ChIJn2uMnn0b2jER22TVq4yQyX4,4.6,17,,1.2734392,103.8016099,royal t group pte. ltd.,A,0.45176,5,FALSE,
the penyet co,ChIJjbv_NgAb2jERAu0fBIv9hvk,4,12,,1.2734559,103.8017108,the exchange asia square pte ltd,A,0.1863,5,FALSE,
eng's wonton noodles,ChIJdyaCy80b2jERR7Km4LLQ1-Y,2.7,71,,1.2735186,103.8016438,artemis fine foods a.s. pte ltd,A,0.48446,5,FALSE,
so fun3 三两粉 @ arc,ChIJ29LnY-Ib2jER_L9oyOrIfWk,4.7,1571,,1.2735234,103.8017566,black arc holdings pte. ltd.,Unknown,0.94932,5,FALSE,
jiak ba food heaven,ChIJ46a73Dsb2jERVMYblr8Bew0,4.3,292,,1.2736761,103.8015216,ho heng food & enterprise pte. ltd.,A,0.9166,5,FALSE,
supergreen (alexandra retail centre - arc),ChIJUUaFkt0b2jERZE2uuk2y5y8,4.3,8,,1.2736761,103.8015216,black arc holdings pte. ltd.,Unknown,0.72038,5,FALSE,
hou kee (arc),ChIJVVVVHMEb2jERmcb2SF4SxPk,5,1,,1.2736761,103.8015216,yu kee duck and noodle house pte. ltd.,A,0,0,FALSE,
"wok hey arc, labrador park",ChIJmW9bkjIb2jEREctOM9fQpNA,3.9,49,2,1.2736761,103.8015216,wok hey pte. ltd.,Unknown,0.40298,5,FALSE,
shinobu dining pte. ltd.,ChIJa_FjG8Eb2jER77NXnHLIJH4,,,,1.2736761,103.8015216,j dining pte. ltd.,B,0,,FALSE,
sushi tei,ChIJQ7ONulgZ2jERlc6eQgG0Qn4,4.2,1007,2,1.2634711,103.8213037,sushi-tei pte ltd,A,0.737818182,55,FALSE,
indrawan cafe,ChIJVf_IIOMb2jERKRfIV0egmyc,,,,1.2642133,103.8198342,hanis cafe & bakery pte. ltd.,A,0,,FALSE,
subway,ChIJAybKOeIb2jERktSah2QULcE,4.4,195,2,1.2650208,103.820034,subway harbourfront pte ltd,A,0.178081667,239,FALSE,
brotzeit german beer bar and restaurant - vivocity,ChIJQ7ONulgZ2jERMHtVg8e4VHg,4.3,3250,2,1.2634018,103.8220077,texas chicken restaurant pte. ltd.,A,0.97088,5,FALSE,
dian xiao er (vivocity),ChIJQ7ONulgZ2jER2q7WpCC3Ey8,4.6,1721,2,1.2634296,103.8219625,yechun xiao jiang nan restaurant group pte. ltd.,A,0.98348,5,FALSE,
pastamania - italian casual dining @ harbourfront centre,ChIJZTd8Z-Ib2jERbWmTLXef5Mk,4.4,1287,2,1.2638161,103.8203069,ycp dining singapore pte. ltd.,A,0.29236,5,FALSE,
marché vivocity,ChIJQ7ONulgZ2jERGh2R3w9tHSo,4.5,8471,2,1.2644513,103.8213732,,Unknown,0.44618,5,FALSE,
yoshinoya - harbourfront,ChIJz7WdaeIb2jERLn273bOanNc,3.8,207,2,1.2646661,103.8200612,the orange lantern(harbourfront) restaurant p l,A,0.25696,5,FALSE,
thaksin beef noodle,ChIJA-tGeecb2jERqTeXuDLkhpo,3.5,161,,1.2664179,103.8193437,thaksin beef noodle pte. ltd.,A,0.81928,5,FALSE,
mount faber peak,ChIJVanJyN8b2jER-s5D_7DTzHE,4.5,1462,,1.2712211,103.819556,mount faber leisure group pte ltd,A,0.71642,5,FALSE,
eat.,ChIJZTd8Z-Ib2jERZohM7c0U-PI,3,80,2,1.2649045,103.8204508,empire eats pte. limited,A,0.126355,20,FALSE,
old chang kee,ChIJ0RT0B-Ib2jERmgFjdw2qONI,3.9,95,1,1.264859,103.8226244,chang cheng food & beverage pte. ltd.,A,0.126987059,85,FALSE,
soup restaurant 三盅两件 - vivocity,ChIJQ7ONulgZ2jER98DVQWrxa0c,4.6,2603,2,1.2634383,103.8218945,soup fair pte. ltd.,A,0.9475,5,FALSE,
quantum group pte. ltd.,ChIJQ7ONulgZ2jER8roZP4yXMFY,,,,1.2648856,103.8218299,g & g group pte. ltd.,A,0,,FALSE,
java kitchen pte ltd,ChIJQ7ONulgZ2jERR7vifixFn2c,5,1,,1.2640843,103.8223833,java kitchen pte. ltd.,Unknown,0,0,FALSE,
aspirasi chicken rice,ChIJf4mpm-Eb2jERaUFlcKOqXek,4,189,,1.2664544,103.8192853,texas chicken restaurant pte. ltd.,A,0.88214,5,FALSE,
royal albatross - luxury tall ship,ChIJi454DP0b2jERDzqAZnYncek,4.9,4364,,1.258897,103.819902,royal t group pte. ltd.,A,0.98926,5,FALSE,
poulet - vivocity,ChIJ19gzfOIb2jERiPK282bwI88,4.7,15702,2,1.2636547,103.8211921,,Unknown,0.91184,5,FALSE,
