restaurant_name,hygiene_grade,latitude,longitude
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
kopi king pte. ltd.,A,1.27910567910157,103.854297425627
tower 3 pte. ltd.,A,1.27910567910157,103.854297425627
the bakery depot pte ltd,A,1.27910567910157,103.854297425627
the bakery depot pte ltd,A,1.27910567910157,103.854297425627
ntuc foodfare co-operative ltd,NA,1.27910567910157,103.854297425627
ntuc foodfare co-operative ltd,A,1.27910567910157,103.854297425627
soup fair pte. ltd.,A,1.27910567910157,103.854297425627
ntuc foodfare co-operative ltd,A,1.27910567910157,103.854297425627
chang cheng food & beverage pte. ltd.,A,1.27910567910157,103.854297425627
yat kah fatt pte. ltd.,A,1.27910567910157,103.854297425627
tan chow yea,A,1.27910567910157,103.854297425627
penyet king pte. ltd.,A,1.27910567910157,103.854297425627
jfort pte. ltd.,A,1.27910567910157,103.854297425627
qu hongxia,A,1.27910567910157,103.854297425627
chen changxi,A,1.27910567910157,103.854297425627
marina bay mini wok pte ltd,A,1.27910567910157,103.854297425627
copper chimney pte ltd,A,1.27910567910157,103.854297425627
java kitchen pte. ltd.,,1.27910567910157,103.854297425627
gan hock lim,A,1.27910567910157,103.854297425627
mex out pte ltd,A,1.27910567910157,103.854297425627
best partners food management pte. ltd.,A,1.27910567910157,103.854297425627
the sandwich shop pte. ltd.,A,1.27910567910157,103.854297425627
misaki japanese restaurant pte. ltd.,A,1.27910567910157,103.854297425627
starbucks coffee singapore pte. ltd.,A,1.27910567910157,103.854297425627
chilli api catering pte. ltd.,A,1.27910567910157,103.854297425627
iss catering services pte. ltd.,A,1.27946811862976,103.85374955326
rc hotels (pte.) ltd.,A,1.27946811862976,103.85374955326
spinelli pte ltd,A,1.28022768611887,103.853349301911
erwin pte ltd,A,1.28022768611887,103.853349301911
s connexion pte ltd,A,1.28022768611887,103.853349301911
harry's international pte ltd,A,1.28022768611887,103.853349301911
changing faces pte. ltd.,A,1.28022768611887,103.853349301911
saigon rolls pte ltd,A,1.28022768611887,103.853349301911
the well cafe pte. ltd.,,1.28022768611887,103.853349301911
burger king singapore pte. ltd.,A,1.28022768611887,103.853349301911
pappamia group pte. ltd.,A,1.28022768611887,103.853349301911
taster food pte. ltd.,A,1.28022768611887,103.853349301911
paul singapore pte. ltd.,A,1.28022768611887,103.853349301911
the coffee bean & tea leaf (singapore) pte ltd,A,1.28022768611887,103.853349301911
sarika connoisseur cafe pte ltd,A,1.28022768611887,103.853349301911
r e & s enterprises pte ltd,A,1.28022768611887,103.853349301911
sea cuisine (marina bay) pte. ltd.,A,1.28022768611887,103.853349301911
breadtalk pte ltd,A,1.28022768611887,103.853349301911
dnc international pte. ltd.,A,1.28022768611887,103.853349301911
paradise inn (2) pte. ltd.,A,1.28022768611887,103.853349301911
awfully chocolate pte ltd,A,1.28022768611887,103.853349301911
jollibean foods pte. ltd.,A,1.28022768611887,103.853349301911
eskimo delight pte. ltd.,A,1.28022768611887,103.853349301911
starbucks coffee singapore pte. ltd.,A,1.28022768611887,103.853349301911
ono poke elua pte. ltd.,A,1.28022768611887,103.853349301911
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
iconic locations singapore pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
koufu pte ltd,A,1.28355872540745,103.858505749339
kusto lifestyle concepts pte ltd,A,1.28355872540745,103.858505749339
cold storage singapore (1983) pte ltd,A,1.28355872540745,103.858505749339
marina bay sands pte. ltd.,,1.28355872540745,103.858505749339
marina bay sands pte. ltd.,A,1.28355872540745,103.858505749339
jq dining pte. ltd.,A,1.28355872540745,103.858505749339
bazin group pte. ltd.,A,1.28355872540745,103.858505749339
dallas mbs pte. ltd.,A,1.28355872540745,103.858505749339
next capital entertainment pte. ltd.,A,1.28355872540745,103.858505749339
da paolo group pte. ltd.,A,1.28355872540745,103.858505749339
delijoy pte. ltd.,A,1.28355872540745,103.858505749339
wrapster foods (s) pte. ltd.,A,1.28355872540745,103.858505749339
black knight warrior pte ltd,A,1.28355872540745,103.858505749339
marina bay sands pte. ltd.,A,1.28355872540745,103.858505749339
twg tea company pte. ltd.,A,1.28355872540745,103.858505749339
the coffee bean & tea leaf (singapore) pte ltd,A,1.28355872540745,103.858505749339
gbl ventures pte. ltd.,A,1.28355872540745,103.858505749339
high society culture pte. ltd.,A,1.28355872540745,103.858505749339
koufu pte ltd,NA,1.28355872540745,103.858505749339
super tea (s) pte. ltd.,A,1.28355872540745,103.858505749339
koufu pte ltd,A,1.28355872540745,103.858505749339
koufu pte ltd,A,1.28355872540745,103.858505749339
jia jia le cuisine f & b pte. ltd.,A,1.28355872540745,103.858505749339
tung yang wee arthur,A,1.28355872540745,103.858505749339
home kitchen pte. ltd.,A,1.28355872540745,103.858505749339
g & g group pte. ltd.,A,1.28355872540745,103.858505749339
yu kee duck and noodle house pte. ltd.,A,1.28355872540745,103.858505749339
lim bee kian annie,A,1.28355872540745,103.858505749339
boon tat catering & supply pte. ltd.,A,1.28355872540745,103.858505749339
thye hong eateries pte. ltd.,A,1.28355872540745,103.858505749339
jufu f&b private limited,A,1.28355872540745,103.858505749339
ng ah sio investments pte. ltd.,A,1.28355872540745,103.858505749339
sfbi (asia-pacific) pte. ltd.,A,1.28355872540745,103.858505749339
guan chee hong kong roasted duck pte. ltd.,A,1.28355872540745,103.858505749339
ting yee wah,A,1.28355872540745,103.858505749339
shanghai lion international pte. ltd.,A,1.28355872540745,103.858505749339
branwood (v09) pte. ltd.,A,1.28355872540745,103.858505749339
zhen neng zhu lamian pte. ltd.,A,1.28355872540745,103.858505749339
jqy pte. ltd.,A,1.28355872540745,103.858505749339
lau di fang scissors-cut curry rice pte. ltd.,A,1.28355872540745,103.858505749339
hao ju holding pte. ltd.,A,1.28355872540745,103.858505749339
gao ji food (s) pte ltd,A,1.28355872540745,103.858505749339
hyangtogol (korean restaurant) pte. ltd.,A,1.28355872540745,103.858505749339
hjy food trading pte. ltd.,A,1.28355872540745,103.858505749339
the song of india pte. ltd.,A,1.28355872540745,103.858505749339
the noodles pte. ltd.,A,1.28355872540745,103.858505749339
ippudo singapore pte. ltd.,A,1.28355872540745,103.858505749339
starbucks coffee singapore pte. ltd.,A,1.28355872540745,103.858505749339
z yogurt three pte. ltd.,A,1.28355872540745,103.858505749339
breadtalk pte ltd,A,1.28355872540745,103.858505749339
taster food pte. ltd.,A,1.28355872540745,103.858505749339
re global hospitality pte. ltd.,A,1.28355872540745,103.858505749339
bluebell singapore pte. ltd.,A,1.28355872540745,103.858505749339
sarika connoisseur cafe pte ltd,A,1.28355872540745,103.858505749339
twg tea company pte. ltd.,A,1.28355872540745,103.858505749339
fabcafe pte ltd,A,1.28622396402992,103.859271125809
spinelli pte ltd,A,1.27946811862976,103.85374955326
dimbulah  coffee (s) pte ltd,A,1.27946811862976,103.85374955326
blvd holding pte. ltd.,A,1.27946811862976,103.85374955326
spinelli pte ltd,A,1.27946811862976,103.85374955326
level33 pte. ltd.,A,1.27946811862976,103.85374955326
nanasango pte ltd,A,1.27946811862976,103.85374955326
spinelli pte ltd,A,1.27946811862976,103.85374955326
lovelife ventures pte. ltd.,A,1.27946811862976,103.85374955326
deja brew pte. ltd.,A,1.27582919669871,103.849576397545
kampong corner pte. ltd.,NA,1.27368177722544,103.860075470498
kintsugi pte. ltd.,A,1.27737236043423,103.852844804264
udc pte. ltd.,A,1.27737236043423,103.852844804264
cherry beans singapore pte. ltd.,A,1.27737236043423,103.852844804264
gen japan pte. ltd.,A,1.27737236043423,103.852844804264
pizzaexpress singapore pte. limited,A,1.27737236043423,103.852844804264
floc private limited,A,1.27737236043423,103.852844804264
1855 f&b pte. ltd.,A,1.27737236043423,103.852844804264
cold storage singapore (1983) pte ltd,,1.27737236043423,103.852844804264
koufu pte ltd,NA,1.27737236043423,103.852844804264
koufu pte ltd,A,1.27737236043423,103.852844804264
shuang long food enterprise pte. ltd.,A,1.27737236043423,103.852844804264
yao zhiqing,B,1.27737236043423,103.852844804264
nan siong leng,A,1.27737236043423,103.852844804264
sfbi (asia-pacific) pte. ltd.,A,1.27737236043423,103.852844804264
the song of india pte. ltd.,A,1.27737236043423,103.852844804264
boon tat catering & supply pte. ltd.,A,1.27737236043423,103.852844804264
global rasa pte. ltd.,A,1.27737236043423,103.852844804264
ting yee wah,A,1.27737236043423,103.852844804264
hock kee f&b pte. ltd.,A,1.27737236043423,103.852844804264
restaurant majestic pte. ltd.,A,1.27737236043423,103.852844804264
1855 f&b pte. ltd.,,1.27737236043423,103.852844804264
yuda pte. ltd.,A,1.27737236043423,103.852844804264
seeding culinary pte. ltd.,A,1.27737236043423,103.852844804264
marina live seafood & steamboat pte ltd,B,1.28130189968886,103.86115492566
lim chong seng,B,1.28130189968886,103.86115492566
satay by the bay pte. ltd.,B,1.28130189968886,103.86115492566
satay by the bay pte. ltd.,B,1.28130189968886,103.86115492566
satay by the bay pte. ltd.,B,1.28130189968886,103.86115492566
lim bee kian annie,B,1.28130189968886,103.86115492566
satay by the bay pte. ltd.,,1.28130189968886,103.86115492566
albert law sze chuan,B,1.28130189968886,103.86115492566
hong kong street old chun kee pte. ltd.,B,1.28130189968886,103.86115492566
hong kong street old chun kee pte. ltd.,B,1.28130189968886,103.86115492566
boon tat catering & supply pte. ltd.,B,1.28130189968886,103.86115492566
shiok lok pte. ltd.,B,1.28130189968886,103.86115492566
khadijah restaurant pte. ltd.,,1.28130189968886,103.86115492566
marina live seafood & steamboat pte ltd,B,1.28130189968886,103.86115492566
marina live seafood & steamboat pte ltd,B,1.28130189968886,103.86115492566
26@marina bar & bistro pte ltd,B,1.28130189968886,103.86115492566
cafe concepts westgate pte. ltd.,A,1.28130189968886,103.86115492566
hanbaobao pte. ltd.,A,1.28130189968886,103.86115492566
indochine waterfront pte ltd,A,1.28130189968886,103.86115492566
bakerzin holdings pte. ltd.,A,1.28130189968886,103.86115492566
bayfront pte. ltd.,B,1.28130189968886,103.86115492566
long chim (singapore) pte. ltd.,A,1.2840626995591,103.859522750726
imperial treasure fine dining restaurant pte. ltd.,A,1.2840626995591,103.859522750726
katrina holdings pte ltd,A,1.29487905112126,103.857675501543
mayson bakery pte ltd,A,1.29487905112126,103.857675501543
sapporo lion (s) pte. ltd.,A,1.29487905112126,103.857675501543
d&n singapore pte. ltd.,A,1.29487905112126,103.857675501543
cts trading enterprise pte. ltd.,A,1.29487905112126,103.857675501543
labrador hil pte. ltd.,A,1.29487905112126,103.857675501543
taste of jerusalem pte. ltd.,A,1.29487905112126,103.857675501543
vietnam an an pte. ltd.,A,1.29487905112126,103.857675501543
hou hou pte ltd,A,1.29487905112126,103.857675501543
pimp my salad pte. ltd.,A,1.29487905112126,103.857675501543
yibao holdings pte. ltd.,,1.29487905112126,103.857675501543
lime truck sg private limited,,1.29487905112126,103.857675501543
paddy whack pte ltd,A,1.29487905112126,103.857675501543
stone & dough pte. ltd.,A,1.29487905112126,103.857675501543
han holding company pte. ltd.,A,1.29487905112126,103.857675501543
pasarbella suntec pte ltd,A,1.29487905112126,103.857675501543
sarnies pasarbella pte. ltd.,A,1.29487905112126,103.857675501543
taster food pte. ltd.,A,1.29487905112126,103.857675501543
godiva chocolatier (asia) limited,A,1.29487905112126,103.857675501543
royal one pte. ltd.,A,1.29487905112126,103.857675501543
wild olive branch pte ltd,A,1.29487905112126,103.857675501543
barachel management services pte. ltd.,A,1.29487905112126,103.857675501543
ct food ventures pte. ltd.,A,1.29487905112126,103.857675501543
abba ol pte. ltd.,A,1.29487905112126,103.857675501543
bobii frutii partner pte. ltd.,A,1.29487905112126,103.857675501543
mc @suntec pte. ltd.,A,1.29487905112126,103.857675501543
guksu pte. ltd.,A,1.29487905112126,103.857675501543
pryel alliance pte. ltd.,A,1.29487905112126,103.857675501543
h group holdings private limited,A,1.29487905112126,103.857675501543
akashi japanese restaurant oph pte. ltd.,A,1.29487905112126,103.857675501543
keisuke singapore pte. ltd.,A,1.29487905112126,103.857675501543
starbucks coffee singapore pte. ltd.,A,1.29487905112126,103.857675501543
cs3 suntec pte. ltd.,A,1.29487905112126,103.857675501543
coca international singapore co pte. ltd.,,1.29487905112126,103.857675501543
eminent corporation pte. ltd.,A,1.29487905112126,103.857675501543
the butcher's kitchen pte ltd,A,1.29487905112126,103.857675501543
maison kayser (singapore) pte. ltd.,A,1.29487905112126,103.857675501543
the coffee bean & tea leaf (singapore) pte ltd,A,1.29487905112126,103.857675501543
hollin international pte. ltd.,A,1.29487905112126,103.857675501543
oriental herbal tea pte. ltd.,A,1.29487905112126,103.857675501543
lovelife ventures pte. ltd.,A,1.29487905112126,103.857675501543
omoomo pte. ltd.,A,1.29487905112126,103.857675501543
lnc lee mart pte ltd,A,1.29487905112126,103.857675501543
hanbaobao pte. ltd.,A,1.29487905112126,103.857675501543
tan coon tio tony,A,1.29487905112126,103.857675501543
dallas suntec pte. ltd.,A,1.29487905112126,103.857675501543
global retail partners pte. ltd.,A,1.29487905112126,103.857675501543
kings know international pte. ltd.,A,1.29487905112126,103.857675501543
cold storage singapore (1983) pte ltd,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
idea fugetsu pte. ltd.,A,1.29487905112126,103.857675501543
r e & s enterprises pte ltd,A,1.29487905112126,103.857675501543
dig inn pte. ltd.,,1.29487905112126,103.857675501543
copitiam pte. ltd.,NA,1.29487905112126,103.857675501543
sfbi (asia-pacific) pte. ltd.,A,1.29487905112126,103.857675501543
tang yaqi,B,1.29487905112126,103.857675501543
cafe lodge pte. ltd.,A,1.29487905112126,103.857675501543
jia jia le cuisine f & b pte. ltd.,A,1.29487905112126,103.857675501543
chicky fun pte. ltd.,A,1.29487905112126,103.857675501543
branwood f&b management pte. ltd.,A,1.29487905112126,103.857675501543
shin jong ran,A,1.29487905112126,103.857675501543
hiap lee food holdings pte. ltd.,A,1.29487905112126,103.857675501543
wang cher chiang,A,1.29487905112126,103.857675501543
copitiam pte. ltd.,A,1.29487905112126,103.857675501543
burger king singapore pte. ltd.,A,1.29487905112126,103.857675501543
golden village multiplex pte ltd,A,1.29487905112126,103.857675501543
golden village multiplex pte ltd,A,1.29487905112126,103.857675501543
royal one pte. ltd.,A,1.29487905112126,103.857675501543
r e & s enterprises pte ltd,A,1.29487905112126,103.857675501543
kampong ria nasi padang pte ltd,B,1.29487905112126,103.857675501543
ya kun cafe pte. ltd.,A,1.29487905112126,103.857675501543
aydogan-bosnak international pte ltd,A,1.29487905112126,103.857675501543
utb coffee singapore pte. ltd.,A,1.29487905112126,103.857675501543
kimron f & b pte. ltd.,A,1.29487905112126,103.857675501543
abaavo group private limited,A,1.29487905112126,103.857675501543
old street bak kut teh (fn) pte. ltd.,A,1.29487905112126,103.857675501543
crystal jade my bread (tbp) pte. ltd.,NA,1.29487905112126,103.857675501543
food republic pte. ltd.,NA,1.29487905112126,103.857675501543
penyet & bbq culinary pte ltd,A,1.29487905112126,103.857675501543
fu lin group pte. ltd.,A,1.29487905112126,103.857675501543
chua tian loke,A,1.29487905112126,103.857675501543
guan chee hong kong roasted duck pte. ltd.,A,1.29487905112126,103.857675501543
gan hock lim,,1.29487905112126,103.857675501543
mama thai kitchen pte. ltd.,A,1.29487905112126,103.857675501543
the food theory group pte ltd,A,1.29487905112126,103.857675501543
chang cheng food paradise pte. ltd.,A,1.29487905112126,103.857675501543
starlight food pte. ltd.,A,1.29487905112126,103.857675501543
magnum wok pte. ltd.,A,1.29487905112126,103.857675501543
formosa delights pte ltd,A,1.29487905112126,103.857675501543
sim eng gee,A,1.29487905112126,103.857675501543
i & r asian food pte. ltd.,A,1.29487905112126,103.857675501543
chai's f & b pte. ltd.,A,1.29487905112126,103.857675501543
food republic pte. ltd.,A,1.29487905112126,103.857675501543
food republic pte. ltd.,A,1.29487905112126,103.857675501543
katrina holdings pte ltd,A,1.29487905112126,103.857675501543
soup restaurant singapore pte. ltd.,A,1.29487905112126,103.857675501543
mas millennium (singapore) private limited,A,1.29487905112126,103.857675501543
jil & yellowtail pte. ltd.,A,1.29487905112126,103.857675501543
wolves sg pte. ltd.,A,1.28022768611887,103.853349301911
empire eats pte. limited,A,1.28022768611887,103.853349301911
lamb cupcakery pte ltd,A,1.28022768611887,103.853349301911
ultra bake pte. ltd.,NA,1.28022768611887,103.853349301911
cakeglace bakeworks llp,NA,1.28022768611887,103.853349301911
old tea hut (marina bay) pte. ltd.,A,1.28022768611887,103.853349301911
salad stop pte. ltd.,A,1.28022768611887,103.853349301911
cream palette pte ltd,A,1.28022768611887,103.853349301911
the soup spoon pte ltd,A,1.28022768611887,103.853349301911
kimoto pte. ltd.,A,1.28076944309971,103.852658565645
juvynn pte. ltd.,A,1.28076944309971,103.852658565645
sos restaurants pte. ltd.,A,1.28076944309971,103.852658565645
porters restaurant bar private limited,A,1.28076944309971,103.852658565645
gloria foods pte. ltd.,A,1.28076944309971,103.852658565645
salad stop pte. ltd.,A,1.28076944309971,103.852658565645
jab brewers pte. ltd.,A,1.28076944309971,103.852658565645
lim guat khim,A,1.28076944309971,103.852658565645
canvas alliance grp llp,,1.28076944309971,103.852658565645
63espresso pte. ltd.,A,1.28076944309971,103.852658565645
omnivore (sail) pte. ltd.,A,1.28076944309971,103.852658565645
lee poh keong,A,1.28076944309971,103.852658565645
link court pte ltd,A,1.28076944309971,103.852658565645
tmp pte. ltd.,A,1.28076944309971,103.852658565645
hong yun catering services pte. ltd.,B,1.2702907855722,103.863149079583
source ed-ventures pte ltd,A,1.2702907855722,103.863149079583
one chimichanga pte ltd,A,1.2822876636611,103.852428734407
coffee n creme pte ltd,A,1.2822876636611,103.852428734407
ntuc foodfare co-operative ltd,A,1.2822876636611,103.852428734407
orange clove catering pte. ltd.,A,1.2822876636611,103.852428734407
01 bb pte. ltd.,B,1.29976683617127,103.863637018496
co nut ink pte. ltd.,B,1.29036587101818,103.854797730101
paracosm private limited,,1.29036587101818,103.854797730101
millenia private limited,A,1.2935250479577,103.858774754924
millenia private limited,A,1.2935250479577,103.858774754924
millenia private limited,A,1.2935250479577,103.858774754924
millenia private limited,A,1.2935250479577,103.858774754924
millenia private limited,A,1.2935250479577,103.858774754924
millenia private limited,A,1.2935250479577,103.858774754924
millenia private limited,A,1.2935250479577,103.858774754924
quik food pte. ltd.,B,1.29487905112126,103.857675501543
ten & han trading pte ltd,A,1.29487905112126,103.857675501543
