restaurant_name,name,award,price,cuisine,latitude,longitude
yong kee claypot bak kut teh,Yong Kee Claypot Bak Kut Teh,Selected Restaurants,$,Street Food,1.3345193,103.7214706
yong xiang xing tou fu,Yong Xiang Xing Tou Fu,Selected Restaurants,$,Street Food,1.2851661,103.8425425
hoe kee kitchen,Hoe Kee Kitchen,Selected Restaurants,$,Street Food,1.3499648,103.7184122
xing yun hainanese boneless chicken rice,Xing Yun Hainanese Boneless Chicken Rice,Selected Restaurants,$,Street Food,1.3452585,103.7313252
bedok chwee kueh,Bedok Chwee Kueh,Selected Restaurants,$,Street Food,1.3249411,103.9306756
chung cheng,Chung Cheng,Selected Restaurants,$,Street Food,1.3033256,103.8639165
tiong bahru lien fa shui jing pau,Tiong Bahru Lien Fa Shui Jing Pau,Selected Restaurants,$,Street Food,1.284671,103.8326
pondok makan indonesia,Pondok Makan Indonesia,Selected Restaurants,$,Street Food,1.3013262,103.8538666
shang palace,Shang Palace,Selected Restaurants,$$,Cantonese,1.3111984,103.8265468
min jiang at dempsey,Min Jiang at Dempsey,Selected Restaurants,$$,"Cantonese, Sichuan",1.3049401,103.8083222
bar-roque grill,Bar-Roque Grill,Selected Restaurants,$$,European,1.2755732,103.843511
ushidoki wagyu kaiseki,Ushidoki Wagyu Kaiseki,Selected Restaurants,$$$$,Japanese,1.2780323,103.8444829
yong fu,Yong Fu,Selected Restaurants,$$$$,Ningbo,1.2951461,103.8576472
545 whampoa prawn noodles,545 Whampoa Prawn Noodles,Selected Restaurants,$,Street Food,1.3059012,103.8504528
vue,Vue,Selected Restaurants,$$$,European Contemporary,1.2830712,103.85301
ghim moh chwee kueh,Ghim Moh Chwee Kueh,Selected Restaurants,$,Street Food,1.3110349,103.7882915
shi le yuan,Shi Le Yuan,Selected Restaurants,$,Street Food,1.2873967,103.818244
come daily fried hokkien prawn mee,Come Daily Fried Hokkien Prawn Mee,Selected Restaurants,$,Street Food,1.3381846,103.8447186
wah lok,Wah Lok,Selected Restaurants,$$,Cantonese,1.295806,103.8523
tunglok heen,Tunglok Heen,Selected Restaurants,$$,Cantonese,1.2548974,103.820172
olivia,Olivia,Selected Restaurants,$$,Spanish,1.2807626,103.8416376
yì by jereme leung,Yì By Jereme Leung,Selected Restaurants,$$,Chinese Contemporary,1.295585,103.8540095
jian bo shui kueh,Jian Bo Shui Kueh,Selected Restaurants,$,Street Food,1.2846506,103.83259
koka wanton noodles,Koka Wanton Noodles,Selected Restaurants,$,Street Food,1.3058048,103.8636367
hill street fried kway teow,Hill Street Fried Kway Teow,Selected Restaurants,$,Street Food,1.3203783,103.9355949
