restaurant_name,place_id,rating,review_count,price_level,latitude,longitude,matched_sfa_name,hygiene_grade
nasi lemak ayam taliwang,ChIJEZR5VgAb2jER6Dfa2Ke4tbg,4.2,13.0,,1.2721447,103.8018967,yanti nasi padang restaurant pte ltd,B
king grouper fish soup,ChIJ87idLAAb2jER0CnStvqNluY,3.0,1.0,,1.2721447,103.8018967,soup restaurant singapore pte. ltd.,A
mr eggs@ labrador tower,ChIJRTHCVgAb2jERC2DWHmWNqBE,3.8,4.0,,1.2721447,103.8018967,mr bap pte. ltd.,A
淮南牛肉汤 huai nan beef soup (labrador tower),ChIJC-fLcKkb2jERjfU0NmFYB2I,,,,1.2721447,103.8018967,the soup spoon pte ltd,A
1-alfaro,ChIJi7lBYwAb2jER16bK10MOME8,4.5,488.0,,1.2722724,103.8010839,1-soleil pte. ltd.,A
get some @ labrador | singapore's best craft beers,ChIJER7DMgAb2jERFKMM23yw8SA,4.8,57.0,,1.2723188,103.8013908,seafood paradise (s) pte. ltd.,A
instachef at sp group @ pasir panjang (restricted access),ChIJD__aUfAb2jERy7XndoNceHo,,,,1.2724319,103.799736,royal t group pte. ltd.,A
sum kee food (telok blangah),ChIJBbroTsIb2jEROr9uxsKYr5U,4.3,1829.0,2.0,1.2724179,103.8063851,quik food pte. ltd.,B
bleu keppel bay,ChIJQ_YEj6Ab2jERSKJSEzoXzNg,4.3,114.0,,1.2640047,103.8124338,marina bay sands pte. ltd.,A
ristorante palermo,ChIJCxvvjgIb2jER1HlfT5-p_Os,4.3,224.0,,1.2640047,103.8124338,ristorante pietrasanta pte. ltd.,A
the surf club by tin box,ChIJKw9H6qAb2jER2TDMHmYHPuU,4.5,24.0,,1.2639723,103.8124721,the coffee bean & tea leaf (singapore) pte ltd,A
akshaya kitchen & bistro,ChIJmzBWZwob2jERqDmOQPVrCvw,3.7,208.0,,1.2734097,103.801619,asia bistro llp,B
royal currie,ChIJn2uMnn0b2jER22TVq4yQyX4,4.6,17.0,,1.2734392,103.8016099,royal t group pte. ltd.,A
the penyet co,ChIJjbv_NgAb2jERAu0fBIv9hvk,4.0,12.0,,1.2734559,103.8017108,the exchange asia square pte ltd,A
eng's wonton noodles,ChIJdyaCy80b2jERR7Km4LLQ1-Y,2.7,71.0,,1.2735186,103.8016438,artemis fine foods a.s. pte ltd,A
so fun3 三两粉 @ arc,ChIJ29LnY-Ib2jER_L9oyOrIfWk,4.7,1571.0,,1.2735234,103.8017566,black arc holdings pte. ltd.,
jiak ba food heaven,ChIJ46a73Dsb2jERVMYblr8Bew0,4.3,292.0,,1.2736761,103.8015216,ho heng food & enterprise pte. ltd.,A
supergreen (alexandra retail centre - arc),ChIJUUaFkt0b2jERZE2uuk2y5y8,4.3,8.0,,1.2736761,103.8015216,black arc holdings pte. ltd.,
hou kee (arc),ChIJVVVVHMEb2jERmcb2SF4SxPk,5.0,1.0,,1.2736761,103.8015216,yu kee duck and noodle house pte. ltd.,A
"wok hey arc, labrador park",ChIJmW9bkjIb2jEREctOM9fQpNA,3.9,49.0,2.0,1.2736761,103.8015216,wok hey pte. ltd.,
shinobu dining pte. ltd.,ChIJa_FjG8Eb2jER77NXnHLIJH4,,,,1.2736761,103.8015216,j dining pte. ltd.,B
sushi tei,ChIJQ7ONulgZ2jERlc6eQgG0Qn4,4.2,1007.0,2.0,1.2634711,103.8213037,sushi-tei pte ltd,A
indrawan cafe,ChIJVf_IIOMb2jERKRfIV0egmyc,,,,1.2642133,103.8198342,hanis cafe & bakery pte. ltd.,A
subway,ChIJAybKOeIb2jERktSah2QULcE,4.4,195.0,2.0,1.2650208,103.820034,subway harbourfront pte ltd,A
brotzeit german beer bar and restaurant - vivocity,ChIJQ7ONulgZ2jERMHtVg8e4VHg,4.3,3250.0,2.0,1.2634018,103.8220077,texas chicken restaurant pte. ltd.,A
dian xiao er (vivocity),ChIJQ7ONulgZ2jER2q7WpCC3Ey8,4.6,1721.0,2.0,1.2634296,103.8219625,yechun xiao jiang nan restaurant group pte. ltd.,A
pastamania - italian casual dining @ harbourfront centre,ChIJZTd8Z-Ib2jERbWmTLXef5Mk,4.4,1287.0,2.0,1.2638161,103.8203069,ycp dining singapore pte. ltd.,A
marché vivocity,ChIJQ7ONulgZ2jERGh2R3w9tHSo,4.5,8471.0,2.0,1.2644513,103.8213732,,
yoshinoya - harbourfront,ChIJz7WdaeIb2jERLn273bOanNc,3.8,207.0,2.0,1.2646661,103.8200612,the orange lantern(harbourfront) restaurant p l,A
thaksin beef noodle,ChIJA-tGeecb2jERqTeXuDLkhpo,3.5,161.0,,1.2664179,103.8193437,thaksin beef noodle pte. ltd.,A
mount faber peak,ChIJVanJyN8b2jER-s5D_7DTzHE,4.5,1462.0,,1.2712211,103.819556,mount faber leisure group pte ltd,A
eat.,ChIJZTd8Z-Ib2jERZohM7c0U-PI,3.0,80.0,2.0,1.2649045,103.8204508,empire eats pte. limited,A
old chang kee,ChIJ0RT0B-Ib2jERmgFjdw2qONI,3.9,95.0,1.0,1.264859,103.8226244,chang cheng food & beverage pte. ltd.,A
soup restaurant 三盅两件 - vivocity,ChIJQ7ONulgZ2jER98DVQWrxa0c,4.6,2603.0,2.0,1.2634383,103.8218945,soup fair pte. ltd.,A
quantum group pte. ltd.,ChIJQ7ONulgZ2jER8roZP4yXMFY,,,,1.2648856,103.8218299,g & g group pte. ltd.,A
java kitchen pte ltd,ChIJQ7ONulgZ2jERR7vifixFn2c,5.0,1.0,,1.2640843,103.8223833,java kitchen pte. ltd.,
aspirasi chicken rice,ChIJf4mpm-Eb2jERaUFlcKOqXek,4.0,189.0,,1.2664544,103.8192853,texas chicken restaurant pte. ltd.,A
